City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,busselton,-33.65,115.3333,53.71,88,7,10.69,AU,1667857842
84,punta arenas,-53.15,-70.9167,62.71,51,75,18.41,CL,1667857730
85,iqaluit,63.7506,-68.5145,20.93,62,75,17.27,CA,1667857843
86,basco,20.4487,121.9702,78.76,82,15,21.97,PH,1667857843
87,avenal,36.0041,-120.129,53.37,54,99,11.27,US,1667857843
88,ampanihy,-24.7,44.75,73.27,72,2,2.68,MG,1667857844
89,saint-philippe,-21.3585,55.7679,71.19,80,71,9.6,RE,1667857844
90,abu dhabi,24.4667,54.3667,80.62,84,0,3.44,AE,1667857844
91,victoria,22.2855,114.1577,71.26,93,100,10.0,HK,1667857777
92,inirida,3.8653,-67.9239,79.72,80,25,1.81,CO,1667857845
93,pumiao,22.75,108.4833,61.2,77,0,2.19,CN,1667857845
94,hualmay,-11.0964,-77.6139,66.94,74,11,7.94,PE,1667857846
95,sobolevo,54.4299,31.8996,41.59,93,100,11.68,RU,1667857846
96,padang,-0.9492,100.3543,75.25,87,99,2.98,ID,1667857807
97,goundam,16.4145,-3.6708,79.97,14,67,8.1,ML,1667857846
98,barrow,71.2906,-156.7887,24.82,86,100,10.36,US,1667857847
99,la ronge,55.1001,-105.2842,10.65,61,40,9.22,CA,1667857847
100,crotone,39.0851,17.1178,60.19,72,8,4.79,IT,1667857847
101,khatanga,71.9667,102.5,4.24,97,99,4.94,RU,1667857848
102,cape town,-33.9258,18.4232,62.11,83,0,5.75,ZA,1667857848
103,kapaa,22.0752,-159.319,82.72,73,20,14.97,US,1667857848
104,ballina,-28.8667,153.5667,64.02,88,31,5.66,AU,1667857849
105,sarangani,5.4033,125.4636,82.06,74,94,1.79,PH,1667857849
106,fairbanks,64.8378,-147.7164,19.81,70,20,4.61,US,1667857800
107,aktash,50.3,87.7333,22.95,80,100,3.74,RU,1667857849
108,chuy,-33.6971,-53.4616,60.39,78,4,9.69,UY,1667857850
109,bengkulu,-3.8004,102.2655,73.94,92,100,3.29,ID,1667857850
110,ilebo,-4.3167,20.5833,68.34,94,38,1.07,CD,1667857851
111,hunchun,42.8675,130.3581,31.17,78,1,3.98,CN,1667857851
112,cap malheureux,-19.9842,57.6142,73.47,72,0,1.99,MU,1667857852
113,qaanaaq,77.484,-69.3632,-0.53,96,100,9.04,GL,1667857852
114,vanimo,-2.6741,141.3028,78.24,88,100,3.89,PG,1667857852
115,carnarvon,-24.8667,113.6333,66.31,61,38,14.09,AU,1667857853
116,fortuna,40.5982,-124.1573,53.65,91,100,5.99,US,1667857853
117,nanortalik,60.1432,-45.2371,26.94,89,100,4.38,GL,1667857853
118,chokurdakh,70.6333,147.9167,-11.67,94,83,13.09,RU,1667857854
119,aklavik,68.2191,-135.0107,-0.4,78,40,4.61,CA,1667857854
120,palmer,42.1584,-72.3287,72.95,17,20,17.27,US,1667857854
121,sistranda,63.7256,8.834,40.96,68,99,5.79,NO,1667857855
122,keti bandar,24.1447,67.4497,77.99,69,0,6.93,PK,1667857855
123,faanui,-16.4833,-151.75,78.76,76,16,7.25,PF,1667857855
124,mar del plata,-38.0023,-57.5575,70.83,80,0,20.71,AR,1667857856
125,ambikapur,23.1167,83.2,59.97,75,33,1.52,IN,1667857856
126,road town,18.4167,-64.6167,84.29,89,40,11.5,VG,1667857856
127,muroto,33.2833,134.15,62.94,72,1,6.44,JP,1667857857
128,torbay,47.6666,-52.7314,59.76,95,100,21.85,CA,1667857857
129,pevek,69.7008,170.3133,1.53,95,10,2.73,RU,1667857857
130,kirakira,-10.4544,161.9205,82.63,79,83,7.52,SB,1667857858
131,manzil bu zalafah,36.6831,10.5843,58.8,63,0,6.33,TN,1667857858
132,hervey bay,-25.2986,152.8535,70.63,62,52,13.71,AU,1667857858
133,codrington,-38.2667,141.9667,66.13,80,2,9.6,AU,1667857745
134,nome,64.5011,-165.4064,30.27,93,100,27.63,US,1667857771
